ItemName	ItemURL	PriceData	Rating	RatingCount
AMD Ryzen 9 5950X 16-core, 32-Thread Unlocked Desktop Processor Without Cooler	/AMD-Ryzen-5950X-32-Thread-Processor/dp/B0815Y8J9N/ref=sr_1_14?dchild=1&qid=1612937136&s=pc&sr=1-14		4.6 out of 5 stars	122
External CD Drive USB 3.0 Portable CD DVD +/-RW Drive DVD/CD ROM Rewriter Burner Writer Compatible with Laptop Desktop PC Windows Mac Pro MacBook	/Rioddas-External-Portable-Rewriter-Superdrive/dp/B07DLRG9VH/ref=sr_1_15?dchild=1&qid=1612937136&s=pc&sr=1-15	$22.99	4.4 out of 5 stars	20,067
"Western Digital 500GB WD Blue 3D NAND Internal PC SSD - SATA III 6 Gb/s, 2.5""/7mm, Up to 560 MB/s - WDS500G2B0A"	/Blue-NAND-500GB-SSD-WDS500G2B0A/dp/B073SBZ8YH/ref=sr_1_17?dchild=1&qid=1612937136&s=pc&sr=1-17	$59.56 $99.99	4.8 out of 5 stars	34,793
AMD Ryzen 5 5600X 6-core, 12-Thread Unlocked Desktop Processor with Wraith Stealth Cooler	/AMD-Ryzen-5600X-12-Thread-Processor/dp/B08166SLDF/ref=sr_1_18?dchild=1&qid=1612937136&s=pc&sr=1-18	$392.99	4.8 out of 5 stars	1,075
"Kingston 240GB A400 SATA 3 2.5"" Internal SSD SA400S37/240G - HDD Replacement for Increase Performance"	/Kingston-240GB-Solid-SA400S37-240G/dp/B01N5IB20Q/ref=sr_1_19?dchild=1&qid=1612937136&s=pc&sr=1-19	$30.48 $34.99	4.8 out of 5 stars	93,610
Elgato Cam Link 4K — Broadcast Live, Record via DSLR, Camcorder, or Action Cam, 1080p60 or 4K at 30 FPS, Compact HDMI Capture Device, USB 3.0	/Elgato-Cam-Link-Broadcast-Camcorder/dp/B07K3FN5MR/ref=sr_1_20?dchild=1&qid=1612937136&s=pc&sr=1-20	$110.99 $129.99	4.6 out of 5 stars	4,846
Elgato HD60 S Capture Card 1080p 60 Capture, Zero-Lag Passthrough, Ultra-Low Latency, PS5, PS4, Xbox Series X/S, Xbox One, Nintendo Switch, USB 3.0 (1GC109901004)	/Elgato-Game-Capture-HD60-PlayStation/dp/B01DRWCOGA/ref=sr_1_23?dchild=1&qid=1612937136&s=pc&sr=1-23	$144.99 $179.99	4.6 out of 5 stars	13,451
Western Digital 1TB WD Blue SN550 NVMe Internal SSD - Gen3 x4 PCIe 8Gb/s, M.2 2280, 3D NAND, Up to 2,400 MB/s - WDS100T2B0C	/Blue-SN550-1TB-NVMe-Internal/dp/B07YFFX5MD/ref=sr_1_24?dchild=1&qid=1612937136&s=pc&sr=1-24	$99.99 $124.99	4.8 out of 5 stars	12,299
ARCTIC MX-4 - Thermal Compound Paste For Coolers | Heat Sink Paste | Composed of Carbon Micro-particles | Easy to Apply | High Durability - 4 Grams	/ARCTIC-MX-4-Compound-Micro-particles-Durability/dp/B0795DP124/ref=sr_1_25?dchild=1&qid=1612937136&s=pc&sr=1-25	$12.99 $22.00	4.8 out of 5 stars	23,473
EVGA 08G-P5-3755-KR GeForce RTX 3070 XC3 Ultra Gaming, 8GB GDDR6, iCX3 Cooling, ARGB LED, Metal Backplate	/EVGA-08G-P5-3755-KR-GeForce-Cooling-Backplate/dp/B08L8L71SM/ref=sr_1_26?dchild=1&qid=1612937136&s=pc&sr=1-26		4.5 out of 5 stars	205
External DVD Drive, USB 3.0 Portable CD/DVD+/-RW Drive/DVD Player for Laptop CD ROM Burner Compatible with Laptop Desktop PC Windows Linux OS Apple Mac Black	/External-CD-DVD-Drive-Compatible/dp/B07MJW5BXZ/ref=sr_1_27?dchild=1&qid=1612937136&s=pc&sr=1-27	$22.99 $26.99	4.4 out of 5 stars	10,554
Toshiba (HDTB420XK3AA) Canvio Basics 2TB Portable External Hard Drive USB 3.0, Black	/Toshiba-HDTB420XK3AA-Canvio-Portable-External/dp/B079D3D8NR/ref=sr_1_28?dchild=1&qid=1612937136&s=pc&sr=1-28	$59.99	4.7 out of 5 stars	27,897
Seagate (STGD2000100) Game Drive for PS4 Systems 2TB External Hard Drive Portable HDD – USB 3.0, Officially Licensed Product	/Seagate-Drive-Systems-External-Portable/dp/B07M9VCHDG/ref=sr_1_29?dchild=1&qid=1612937136&s=pc&sr=1-29	$77.36 $109.99	4.8 out of 5 stars	19,215
WD 2TB My Passport Portable External Hard Drive, Black - WDBYVG0020BBK-WESN	/Passport-Portable-External-Drive-Black/dp/B07VTFN6HM/ref=sr_1_30?dchild=1&qid=1612937136&s=pc&sr=1-30	$59.99 $79.99	4.7 out of 5 stars	27,306
SanDisk 1TB Extreme Portable SSD - Up to 1050MB/s - USB-C, USB 3.2 Gen 2 - External Solid State Drive - SDSSDE61-1T00-G25	/SanDisk-1TB-Extreme-Portable-SDSSDE61-1T00-G25/dp/B08GTYFC37/ref=sr_1_27?dchild=1&qid=1612937136&s=pc&sr=1-27	$159.99 $249.99	4.8 out of 5 stars	32,786
AMD Ryzen 7 5800X 8-core, 16-Thread Unlocked Desktop Processor Without Cooler Black, XX-Large	/AMD-Ryzen-5800X-16-Thread-Processor/dp/B0815XFSGK/ref=sr_1_28?dchild=1&qid=1612937136&s=pc&sr=1-28		4.8 out of 5 stars	839
Corsair Vengeance RGB PRO 16GB (2x8GB) DDR4 3200MHz C16 LED Desktop Memory - Black (CMW16GX4M2C3200C16)	/CORSAIR-Vengeance-3200MHz-Desktop-Memory/dp/B07D1XCKWW/ref=sr_1_29?dchild=1&qid=1612937136&s=pc&sr=1-29	$104.99	4.9 out of 5 stars	27,636
Seagate IronWolf 4TB NAS Internal Hard Drive HDD – CMR 3.5 Inch SATA 6Gb/s 5900 RPM 64MB Cache for RAID Network Attached Storage – Frustration Free Packaging (ST4000VN008)	/Seagate-IronWolf-5900RPM-Internal-3-5-Inch/dp/B07H289S79/ref=sr_1_30?dchild=1&qid=1612937136&s=pc&sr=1-30	$104.99 $110.99	4.7 out of 5 stars	8,148
SanDisk 2TB Extreme PRO Portable SSD - Up to 2000MB/s - USB-C, USB 3.2 Gen 2x2 - External Solid State Drive - SDSSDE81-2T00-G25	/SanDisk-2TB-Extreme-Portable-SDSSDE81-2T00-G25/dp/B08GV4YYV7/ref=sr_1_31?dchild=1&qid=1612937136&s=pc&sr=1-31	$339.99 $509.99	4.8 out of 5 stars	2,864
SAMSUNG 870 EVO 500GB 2.5 Inch SATA III Internal SSD (MZ-77E500B/AM)	/SAMSUNG-500GB-Internal-MZ-77E500B-AM/dp/B08QBMD6P4/ref=sr_1_32?dchild=1&qid=1612937136&s=pc&sr=1-32	$69.99	4.9 out of 5 stars	53
