ItemName	ItemURL	PriceData	Rating	RatingCount
ELEGOO Mega 2560 Project The Most Complete Ultimate Starter Kit w/Tutorial Compatible with Arduino IDE	/EL-KIT-008-Project-Complete-Ultimate-TUTORIAL/dp/B01EWNUUUA/ref=sr_1_69?dchild=1&qid=1612855574&s=pc&sr=1-69	$59.99	4.7 out of 5 stars	3,666
SAMSUNG T7 Portable SSD 1TB - Up to 1050MB/s - USB 3.2 External Solid State Drive, Gray (MU-PC1T0T/AM)	/SAMSUNG-Portable-SSD-1TB-MU-PC1T0T/dp/B0874XN4D8/ref=sr_1_70?dchild=1&qid=1612855574&s=pc&sr=1-70	$159.99 $199.99	4.8 out of 5 stars	5,814
Asus Prime Z390-A Motherboard LGA1151 (Intel 8th And 9th Gen) ATX DDR4 DP HDMI M.2 USB 3.1 Gen2 Gigabit LAN	/Prime-Z390-Motherboard-LGA1151-Gigabit/dp/B07HCY7K9L/ref=sr_1_71?dchild=1&qid=1612855574&s=pc&sr=1-71	$169.83 $179.99	4.7 out of 5 stars	2,692
WD 2TB My Passport for Mac Portable External Hard Drive - Blue, USB-C/USB-A - WDBA2D0020BBL-WESN	/Passport-Portable-External-Drive-WDBA2D0020BBL-WESN/dp/B07VSPL8FJ/ref=sr_1_72?dchild=1&qid=1612855574&s=pc&sr=1-72	$69.99 $89.99	4.6 out of 5 stars	4,282
MSI MAG B550 TOMAHAWK Gaming Motherboard (AMD AM4, DDR4, PCIe 4.0, SATA 6Gb/s, M.2, USB 3.2 Gen 2, HDMI/DP, ATX, AMD Ryzen 5000 Series processors)	/MSI-MAG-B550-TOMAHAWK-Motherboard/dp/B089CWDHFZ/ref=sr_1_73?dchild=1&qid=1612855574&s=pc&sr=1-73	$179.99	4.7 out of 5 stars	1,203
"Western Digital 1TB WD Blue PC Hard Drive - 7200 RPM Class, SATA 6 Gb/s, , 64 MB Cache, 3.5"" - WD10EZEX"	/WD-Blue-1TB-Hard-Drive/dp/B0088PUEPK/ref=sr_1_74?dchild=1&qid=1612855574&s=pc&sr=1-74	$42.99	4.7 out of 5 stars	49,632
Seagate BarraCuda 1TB Internal Hard Drive HDD – 2.5 Inch SATA 6 Gb/s 5400 RPM 128MB Cache for PC Laptop – Frustration Free Packaging (ST1000LM048)	/Seagate-BarraCuda-Internal-Drive-2-5-Inch/dp/B07H28QRKN/ref=sr_1_75?dchild=1&qid=1612855574&s=pc&sr=1-75	$44.99 $49.99	4.7 out of 5 stars	6,362
Intel Core i5-10600K Desktop Processor 6 Cores up to 4.8 GHz Unlocked  LGA1200 (Intel 400 Series Chipset) 125W	/Intel-i5-10600K-Desktop-Processor-Unlocked/dp/B086MHSH2C/ref=sr_1_76?dchild=1&qid=1612855574&s=pc&sr=1-76	$229.99 $263.00	4.8 out of 5 stars	506
LaCie Rugged USB-C 5TB External Hard Drive Portable HDD – USB 3.0, Drop Shock Dust Rain Resistant Shuttle Drive, for Mac and PC Computer Desktop Workstation Laptop, 1 Month Adobe CC (STFR5000800)	/LaCie-Rugged-USB-C-External-Portable/dp/B079HGSFY5/ref=sr_1_75?dchild=1&qid=1612855578&s=pc&sr=1-75	$169.99 $179.99	4.7 out of 5 stars	3,210
Western Digital 500GB WD Blue 3D NAND Internal PC SSD - SATA III 6 Gb/s, M.2 2280, Up to 560 MB/s - WDS500G2B0B	/Blue-NAND-500GB-SSD-WDS500G2B0B/dp/B073SBX6TY/ref=sr_1_76?dchild=1&qid=1612855578&s=pc&sr=1-76	$58.11	4.8 out of 5 stars	14,245
Asus GeForce GTX 1050 Ti 4GB Phoenix Fan Edition DVI-D HDMI DP 1.4 Gaming Graphics Card (PH-GTX1050TI-4G) Graphic Cards	/ASUS-Geforce-Phoenix-Graphics-PH-GTX1050TI-4G/dp/B01M360WG6/ref=sr_1_77?dchild=1&qid=1612855578&s=pc&sr=1-77	$241.94	4.6 out of 5 stars	2,298
Crucial P2 500GB 3D NAND NVMe PCIe M.2 SSD Up to 2400MB/s - CT500P2SSD8	/Crucial-500GB-NAND-NVMe-2400MB/dp/B086BGWNY8/ref=sr_1_78?dchild=1&qid=1612855578&s=pc&sr=1-78	$59.99	4.7 out of 5 stars	4,019
NZXT Kraken Z73 360mm - RL-KRZ73-01 - AIO RGB CPU Liquid Cooler - Customizable LCD Display - Improved Pump - Powered by CAM V4 - RGB Connector - Aer P 120mm Radiator Fans (3 Included)	/NZXT-Kraken-Z73-360mm-Customizable/dp/B082DYPF57/ref=sr_1_79?dchild=1&qid=1612855578&s=pc&sr=1-79	$271.09	4.7 out of 5 stars	6,422
TP-Link AC1200 PCIe WiFi Card for PC (Archer T5E) - Bluetooth 4.2, Dual Band Wireless Network Card (2.4Ghz and 5Ghz) for Gaming, Streaming, Supports Windows 10, 8.1, 8, 7 (32/64-bit)	/TP-Link-Bluetooth-Wireless-Browsing-Streaming/dp/B084JPFKQ5/ref=sr_1_80?dchild=1&qid=1612855578&s=pc&sr=1-80	$34.99 $39.99	4.6 out of 5 stars	5,115
Corsair iCUE H100i RGB Pro XT, 240mm Radiator, Dual 120mm PWM Fans, Software Control, Liquid CPU Cooler	/Corsair-Radiator-Software-Control-Liquid/dp/B0829RTMKY/ref=sr_1_81?dchild=1&qid=1612855578&s=pc&sr=1-81	$119.99	4.7 out of 5 stars	6,147
Seagate 16TB HDD Exos X16 7200 RPM 512e/4Kn SATA 6Gb/s 256MB Cache 3.5-Inch Enterprise Hard Drive (ST16000NM001G)	/Seagate-256MB-3-5-Inch-Enterprise-ST16000NM001G/dp/B07SPFPKF4/ref=sr_1_82?dchild=1&qid=1612855578&s=pc&sr=1-82	$325.52 $539.00	4.5 out of 5 stars	1,049
